"filename", "language", "PostCSS", "comment", "blank", "total"
"c:\Users\julia\Desktop\Coding\Coding-Environment\CSS\codeMirror.css", "PostCSS", -143, 0, 0, -143
"Total", "-", -143, 0, 0, -143
